player_hands,dealer_faceup,useACE,winPro_stay,winPro_hit,winPro_doubledown,winPro_split
16,10,FALSE,0.2345712,0.17166822,0.214285714,0.29015544
17,1,TRUE,0.171232877,0.315789474,0.262295082,0
17,1,FALSE,0.162408759,0.173533084,0.210727969,0
17,2,TRUE,0.334545455,0.389285714,0.142857143,0
17,2,FALSE,0.348023064,0.153739612,0.251308901,0
17,3,TRUE,0.387755102,0.388888889,0.207792208,0
17,3,FALSE,0.37228497,0.18373494,0.219143577,0
17,4,TRUE,0.418181818,0.505952381,0.12962963,0
17,4,FALSE,0.400683469,0.178294574,0.24744898,0
17,5,TRUE,0.380090498,0.503067485,0.265060241,0
17,5,FALSE,0.420327304,0.197767145,0.196473552,0
17,6,TRUE,0.365957447,0.440433213,0.166666667,0
17,6,FALSE,0.417232598,0.180952381,0.272493573,0
17,7,TRUE,0.253164557,0.441935484,0.242857143,0
17,7,FALSE,0.255001962,0.199706314,0.246648794,0
17,8,TRUE,0.224880383,0.350157729,0.296703297,0
17,8,FALSE,0.243075651,0.186640472,0.21657754,0
17,9,TRUE,0.23655914,0.388704319,0.260869565,0
17,9,FALSE,0.246823258,0.155609168,0.242574257,0
17,10,TRUE,0.215210356,0.34351145,0.147260274,0
17,10,FALSE,0.229318009,0.151401329,0.20042796,0
18,1,TRUE,0.363247863,0.364779874,0.116666667,0
18,1,FALSE,0.354545455,0.140655106,0.172566372,0.211538462
18,2,TRUE,0.492481203,0.496688742,0.208333333,0
18,2,FALSE,0.477106227,0.12599681,0.17765043,0.508333333
18,3,TRUE,0.531088083,0.393063584,0.174418605,0
18,3,FALSE,0.50694112,0.145299145,0.174041298,0.4
18,4,TRUE,0.537878788,0.436708861,0.166666667,0
18,4,FALSE,0.513307985,0.141880342,0.181528662,0.492857143
18,5,TRUE,0.554644809,0.462962963,0.265060241,0
18,5,FALSE,0.533012048,0.147163121,0.181547619,0.395348837
18,6,TRUE,0.614255765,0.473282443,0.184210526,0
18,6,FALSE,0.594644506,0.176056338,0.2,0.269230769
18,7,TRUE,0.647058824,0.44,0.166666667,0
18,7,FALSE,0.63030303,0.171521036,0.2228739,0.357142857
18,8,TRUE,0.361173815,0.320512821,0.194029851,0
18,8,FALSE,0.360179886,0.183925811,0.183673469,0.42
18,9,TRUE,0.355742297,0.312796209,0.168674699,0
18,9,FALSE,0.347911742,0.148529412,0.150306748,0.316176471
18,10,TRUE,0.353021045,0.319277108,0.105660377,0
18,10,FALSE,0.352788586,0.138273491,0.172043011,0.343373494
19,1,TRUE,0.533333333,0.369047619,0.037037037,0
19,1,FALSE,0.548243168,0.097995546,0.147058824,0
19,2,TRUE,0.607223476,0.449275362,0.173333333,0
19,2,FALSE,0.612376238,0.126903553,0.107023411,0
19,3,TRUE,0.633867277,0.432432432,0.127906977,0
19,3,FALSE,0.636317653,0.085867621,0.167247387,0
19,4,TRUE,0.634782609,0.425925926,0.126760563,0
19,4,FALSE,0.662972292,0.12568306,0.122699387,0
19,5,TRUE,0.666666667,0.448275862,0.101694915,0
19,5,FALSE,0.654649948,0.12972973,0.134146341,0
19,6,TRUE,0.706967213,0.477876106,0.115942029,0
19,6,FALSE,0.686029044,0.09602649,0.154605263,0
19,7,TRUE,0.786163522,0.417910448,0.12345679,0
19,7,FALSE,0.766239505,0.107142857,0.119873817,0
19,8,TRUE,0.739957717,0.39516129,0.141176471,0
19,8,FALSE,0.737977528,0.110599078,0.138709677,0
19,9,TRUE,0.466666667,0.366412214,0.142857143,0
19,9,FALSE,0.480400334,0.117940199,0.137380192,0
19,10,TRUE,0.482434128,0.373626374,0.107692308,0
19,10,FALSE,0.474379596,0.108523909,0.122633003,0
20,1,TRUE,0.732937685,0.361445783,0.116666667,0
20,1,FALSE,0.731477852,0.053748232,0.054973822,0.317567568
20,2,TRUE,0.737527115,0.413793103,0.031578947,0
20,2,FALSE,0.739620212,0.066437572,0.044982699,0.448979592
20,3,TRUE,0.777777778,0.44,0.131147541,0
20,3,FALSE,0.749422252,0.068208092,0.044692737,0.472477064
20,4,TRUE,0.768888889,0.512,0.076923077,0
20,4,FALSE,0.765881974,0.069212411,0.054054054,0.495283019
20,5,TRUE,0.807256236,0.555555556,0.056338028,0
20,5,FALSE,0.777337298,0.054892601,0.072183099,0.35546875
20,6,TRUE,0.777546778,0.4765625,0.060240964,0
20,6,FALSE,0.803732089,0.0625,0.075091575,0.48
20,7,TRUE,0.838475499,0.461538462,0.027777778,0
20,7,FALSE,0.845058388,0.082207207,0.067010309,0.468253968
20,8,TRUE,0.847082495,0.448818898,0.139240506,0
20,8,FALSE,0.862539959,0.070118662,0.081285444,0.429906542
20,9,TRUE,0.832713755,0.353982301,0.112676056,0
20,9,FALSE,0.803170029,0.084429825,0.08302583,0.385
20,10,TRUE,0.59165346,0.343253968,0.104693141,0
20,10,FALSE,0.588894147,0.070906878,0.081902894,0.396634615
21,1,TRUE,0.91954023,0,0,0
21,1,FALSE,0.931212382,0,0,0
21,2,TRUE,0.88030888,0,0,0
21,2,FALSE,0.883403361,0,0,0
21,3,TRUE,0.889423077,0,0,0
21,3,FALSE,0.893691589,0,0,0
21,4,TRUE,0.866935484,0,0,0
21,4,FALSE,0.88951522,0,0,0
21,5,TRUE,0.931506849,0,0,0
21,5,FALSE,0.900314795,0,0,0
21,6,TRUE,0.917647059,0,0,0
21,6,FALSE,0.907563025,0,0,0
21,7,TRUE,0.932,0,0,0
21,7,FALSE,0.928514694,0,0,0
21,8,TRUE,0.925764192,0,0,0
21,8,FALSE,0.924889543,0,0,0
21,9,TRUE,0.953125,0,0,0
21,9,FALSE,0.937187723,0,0,0
21,10,TRUE,0.952054795,0,0,0
21,10,FALSE,0.964075383,0,0,0
